record_id	key	name_code	col_lsid	database_full_name	rank	name	kingdom	phylum	classx	orderx	family	superfamily	genus	species	infraspecies	author	nameslist	namesjson	classification	authorityDetails	authority
7223320	animalia/species/camelobaetidius_kondratieffi	ITS-609670	urn:lsid:catalogueoflife.org:taxon:24fa9cfa-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	baetidae		camelobaetidius	kondratieffi		Lugo-Ortiz and McCafferty, 1995	camelobaetidius kondratieffi	[{"source": "COL", "type": "accepted name", "name": "Camelobaetidius kondratieffi", "language": "latin", "author": "Lugo-Ortiz and McCafferty, 1995"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": null, "phylum": "arthropoda", "family": "baetidae", "author": "Lugo-Ortiz and McCafferty, 1995", "species": "kondratieffi", "genus": "camelobaetidius", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:24fa9cfa-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223319	animalia/species/baetodes_noventus	ITS-609669	urn:lsid:catalogueoflife.org:taxon:24fa9a2a-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	baetidae		baetodes	noventus		Cohen and Allen, 1972	baetodes noventus	[{"source": "COL", "type": "accepted name", "name": "Baetodes noventus", "language": "latin", "author": "Cohen and Allen, 1972"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": null, "phylum": "arthropoda", "family": "baetidae", "author": "Cohen and Allen, 1972", "species": "noventus", "genus": "baetodes", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:24fa9a2a-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223318	animalia/species/baetodes_deludens	ITS-609668	urn:lsid:catalogueoflife.org:taxon:24fa9764-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	baetidae		baetodes	deludens		Lugo-Ortiz and McCafferty, 1995	baetodes deludens	[{"source": "COL", "type": "accepted name", "name": "Baetodes deludens", "language": "latin", "author": "Lugo-Ortiz and McCafferty, 1995"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": null, "phylum": "arthropoda", "family": "baetidae", "author": "Lugo-Ortiz and McCafferty, 1995", "species": "deludens", "genus": "baetodes", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:24fa9764-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223317	animalia/species/atopophlebia_fortunensis	ITS-609667	urn:lsid:catalogueoflife.org:taxon:ee9ab140-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	leptophlebiidae		atopophlebia	fortunensis		Flowers, 1980	atopophlebia fortunensis	[{"source": "COL", "type": "accepted name", "name": "Atopophlebia fortunensis", "language": "latin", "author": "Flowers, 1980"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": null, "phylum": "arthropoda", "family": "leptophlebiidae", "author": "Flowers, 1980", "species": "fortunensis", "genus": "atopophlebia", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:ee9ab140-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223316	animalia/species/asioplax_curiosa	ITS-609666	urn:lsid:catalogueoflife.org:taxon:ee9ab26c-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	leptohyphidae	ephemerelloidea	asioplax	curiosa		(Lugo-Ortiz and McCafferty, 1995)	asioplax curiosa,leptohyphes curiosus,asioplax curiosus	[{"source": "COL", "type": "accepted name", "name": "Asioplax curiosa", "language": "latin", "author": "Lugo-Ortiz and McCafferty, 1995"}, {"source": "COL", "type": "scientific name", "name": "Leptohyphes curiosus", "language": "latin", "author": "Lugo-Ortiz and McCafferty, 1995"}, {"source": "COL", "type": "scientific name", "name": "Asioplax curiosus", "language": "latin", "author": "Lugo-Ortiz and McCafferty, 1995"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": "ephemerelloidea", "phylum": "arthropoda", "family": "leptohyphidae", "author": "(Lugo-Ortiz and McCafferty, 1995)", "species": "curiosa", "genus": "asioplax", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:ee9ab26c-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7223315	animalia/species/allenhyphes_nanus	ITS-609665	urn:lsid:catalogueoflife.org:taxon:ef1b31e4-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	arthropoda	insecta	ephemeroptera	leptohyphidae	ephemerelloidea	allenhyphes	nanus		(Allen, 1967)	allenhyphes nanus,leptohyphes nanus	[{"source": "COL", "type": "accepted name", "name": "Allenhyphes nanus", "language": "latin", "author": "Allen, 1967"}, {"source": "COL", "type": "scientific name", "name": "Leptohyphes nanus", "language": "latin", "author": "Allen, 1967"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": "ephemerelloidea", "phylum": "arthropoda", "family": "leptohyphidae", "author": "(Allen, 1967)", "species": "nanus", "genus": "allenhyphes", "class": "insecta", "order": "ephemeroptera"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:ef1b31e4-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7155347	animalia/species/arthroleptis_nimbaensis	ITS-773413	urn:lsid:catalogueoflife.org:taxon:25567bc4-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	amphibia	anura	arthroleptidae		arthroleptis	nimbaensis		Angel, 1950	arthroleptis nimbaensis,schoutedenella nimbaensis	[{"source": "COL", "type": "accepted name", "name": "Arthroleptis nimbaensis", "language": "latin", "author": "Angel, 1950"}, {"source": "COL", "type": "scientific name", "name": "Schoutedenella nimbaensis", "language": "latin", "author": "Angel, 1950"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": null, "phylum": "chordata", "family": "arthroleptidae", "author": "Angel, 1950", "species": "nimbaensis", "genus": "arthroleptis", "class": "amphibia", "order": "anura"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:25567bc4-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7155319	animalia/species/astylosternus_perreti	ITS-661601	urn:lsid:catalogueoflife.org:taxon:deceaf28-29c1-102b-9a4a-00304854f820:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	amphibia	anura	arthroleptidae		astylosternus	perreti		Amiet, 1978	astylosternus perreti	[{"source": "COL", "type": "accepted name", "name": "Astylosternus perreti", "language": "latin", "author": "Amiet, 1978"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": null, "phylum": "chordata", "family": "arthroleptidae", "author": "Amiet, 1978", "species": "perreti", "genus": "astylosternus", "class": "amphibia", "order": "anura"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:deceaf28-29c1-102b-9a4a-00304854f820:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7155350	animalia/species/arthroleptis_pyrrhoscelis	ITS-773416	urn:lsid:catalogueoflife.org:taxon:2556825e-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	amphibia	anura	arthroleptidae		arthroleptis	pyrrhoscelis		Laurent, 1952	arthroleptis pyrrhoscelis,schoutedenella pyrrhoscelis	[{"source": "COL", "type": "accepted name", "name": "Arthroleptis pyrrhoscelis", "language": "latin", "author": "Laurent, 1952"}, {"source": "COL", "type": "scientific name", "name": "Schoutedenella pyrrhoscelis", "language": "latin", "author": "Laurent, 1952"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": null, "phylum": "chordata", "family": "arthroleptidae", "author": "Laurent, 1952", "species": "pyrrhoscelis", "genus": "arthroleptis", "class": "amphibia", "order": "anura"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:2556825e-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
7155351	animalia/species/arthroleptis_schubotzi	ITS-773417	urn:lsid:catalogueoflife.org:taxon:255684a2-60a7-102d-be47-00304854f810:ac2010	The Integrated Taxonomic Information System	species		animalia	chordata	amphibia	anura	arthroleptidae		arthroleptis	schubotzi		Nieden, 1911	arthroleptis schubotzi,schoutedenella discodactyla,schoutedenella schubotzi	[{"source": "COL", "type": "accepted name", "name": "Arthroleptis schubotzi", "language": "latin", "author": "Nieden, 1911"}, {"source": "COL", "type": "scientific name", "name": "Schoutedenella discodactyla", "language": "latin", "author": "Laurent, 1954"}, {"source": "COL", "type": "scientific name", "name": "Schoutedenella schubotzi", "language": "latin", "author": "Nieden, 1911"}]	{"kingdom": "animalia", "infraspecies": "", "superfamily": null, "phylum": "chordata", "family": "arthroleptidae", "author": "Nieden, 1911", "species": "schubotzi", "genus": "arthroleptis", "class": "amphibia", "order": "anura"}	{"external identifier": "urn:lsid:catalogueoflife.org:taxon:255684a2-60a7-102d-be47-00304854f810:ac2010", "authority": "COL", "database": "The Integrated Taxonomic Information System"}	COL
