name, col-id, syn-name, syn-col-id
Sciurus vulgaris, 6905550, Sciurus subalpinus, None
Sciurus vulgaris, 6905550, Mesosciurus subalpinus, None
Sciurus vulgaris, 6905550, Neosciurus vulgaris, None
Sciurus vulgaris, 6905550, Echinosciurus subalpinus, None
Sciurus vulgaris, 6905550, Baiosciurus subalpinus, None
Sciurus vulgaris, 6905550, Parasciurus subalpinus, None
Sciurus vulgaris, 6905550, Aphrontis subalpinus, None
Sciurus vulgaris, 6905550, Oreosciurus talahutky, None
Sciurus vulgaris, 6905550, Leptosciurus subalpinus, None
Sciurus vulgaris, 6905550, Neosciurus fuscorubens, None
Sciurus vulgaris, 6905550, Histriosciurus subalpinus, None
Sciurus vulgaris, 6905550, Baiosciurus fuscorubens, None
Sciurus vulgaris, 6905550, Echinosciurus talahutky, None
Sciurus vulgaris, 6905550, Baiosciurus talahutky, None
Sciurus vulgaris, 6905550, Aphrontis talahutky, None
Sciurus vulgaris, 6905550, Macroxus fuscorubens, None
Sciurus vulgaris, 6905550, Histriosciurus talahutky, None
Sciurus vulgaris, 6905550, Oreosciurus fuscorubens, None
Sciurus vulgaris, 6905550, Echinosciurus fuscorubens, None
Sciurus vulgaris, 6905550, Parasciurus talahutky, None
Sciurus vulgaris, 6905550, Histriosciurus fuscorubens, None
Sciurus vulgaris, 6905550, Simosciurus fuscorubens, None
Sciurus vulgaris, 6905550, Mesosciurus fuscorubens, None
Sciurus vulgaris, 6905550, Sciurus fuscorubens, None
Sciurus vulgaris, 6905550, Leptosciurus fuscorubens, None
Sciurus vulgaris, 6905550, Araeosciurus fuscorubens, None
Sciurus yucatanensis, 6905552, Sciurus yucatanensis, 6905552
Sciurus yucatanensis, 6905552, Aphrontis yucatanensis, None
Sciurus yucatanensis, 6905552, Macroxus yucatanensis, None
Sciurus yucatanensis, 6905552, Simosciurus yucatanensis, None
Sciurus yucatanensis, 6905552, Araeosciurus yucatanensis, None
Sciurus yucatanensis, 6905552, Leptosciurus yucatanensis, None
Sciurus yucatanensis, 6905552, Neosciurus yucatanensis, None
Sciurus yucatanensis, 6905552, Mesosciurus yucatanensis, None
Sciurus yucatanensis, 6905552, Oreosciurus yucatanensis, None
Sciurus yucatanensis, 6905552, Histriosciurus yucatanensis, None
Sciurus yucatanensis, 6905552, Echinosciurus yucatanensis, None
Sciurus yucatanensis, 6905552, Parasciurus yucatanensis, None
Sciurus yucatanensis, 6905552, Baiosciurus yucatanensis, None
Scleronycteris ega, 6904952, Scleronycteris ega, 6904952
Scolomys melanops, 6906333, Scolomys melanops, 6906333
Scolomys ucayalensis, 6906334, Scolomys juruaense, None
Scolomys ucayalensis, 6906334, Scolomys ucayalensis, 6906334
Scoteanax rueppellii, None, Oligotomus australis, None
Scoteanax rueppellii, None, Scoteanax australis, None
Scoteanax rueppellii, None, Scoteanax rueppellii, None
Scoteanax rueppellii, None, Oligotomus rueppellii, None
Scotinomys teguina, 6906335, Scotinomys escazuensis, None
Scotinomys teguina, 6906335, Scotinomys teguina, 6906335
Scotinomys teguina, 6906335, Scotinomys garichensis, None
Scotinomys teguina, 6906335, Scotinomys leridensis, None
Scotinomys teguina, 6906335, Scotinomys episcopi, None
Scotinomys teguina, 6906335, Scotinomys apricus, None
Scotinomys teguina, 6906335, Scotinomys stenopygius, None
Scotinomys teguina, 6906335, Scotinomys subnubilis, None
Scotinomys teguina, 6906335, Scotinomys cacabatus, None
Scotinomys teguina, 6906335, Scotinomys endersi, None
Scotinomys teguina, 6906335, Scotinomys irazu, None
Scotinomys teguina, 6906335, Scotinomys rufoniger, None
Scotinomys xerampelinus, 6906336, Scotinomys xerampelinus, 6906336
Scotinomys xerampelinus, 6906336, Scotinomys harrisi, None
Scotinomys xerampelinus, 6906336, Scotinomys longipilosus, None
Scotoecus albofuscus, 6905298, Scotoecus albofuscus, 6905298
Scotoecus hirundo, 6905299, Scotoecus hirundo, 6905299
Scotoecus hirundo, 6905299, Scotoecus artinii, None
Scotoecus pallidus, 6905300, Scotoecus noctulinus, None
Scotoecus pallidus, 6905300, Scotoecus pallidus, 6905300
Scotomanes ornatus, 6905302, Scotomanes ornatus, 6905302
Scotomanes ornatus, 6905302, Scoteinus ornatus, None
Scotomanes ornatus, 6905302, Scotomanes emarginatus, 6905301
Scotomanes ornatus, 6905302, Scoteinus emarginatus, None
Scotonycteris ophiodon, 6904798, Scotonycteris ophiodon, 6904798
Scotonycteris ophiodon, 6904798, Scotonycteris cansdalei, None
Scotonycteris zenkeri, 6904799, Scotonycteris zenkeri, 6904799
Scotophilus borbonicus, 6905303, Pachyotus borbonicus, None
Scotophilus borbonicus, 6905303, Scotophilus borbonicus, 6905303
Scotophilus celebensis, 6905304, Pachyotus celebensis, None
Scotophilus celebensis, 6905304, Scotophilus celebensis, 6905304
Scotophilus collinus, None, Scotophilus collinus, None
Scotophilus collinus, None, Pachyotus collinus, None
Scotophilus dinganii, 6905305, Pachyotus dinganii, None
Scotophilus dinganii, 6905305, Scotophilus dinganii, 6905305
Scotophilus heathii, None, Pachyotus heathii, None
Scotophilus heathii, None, Scotophilus heathii, None
Scotophilus kuhlii, 6905308, Pachyotus kuhlii, None
Scotophilus kuhlii, 6905308, Scotophilus kuhlii, 6905308
Scotophilus leucogaster, 6905309, Pachyotus leucogaster, None
Scotophilus leucogaster, 6905309, Scotophilus leucogaster, 6905309
Scotophilus leucogaster, 6905309, Pachyotus serratus, None
Scotophilus leucogaster, 6905309, Scotophilus serratus, None
Scotophilus nigrita, 6905310, Pachyotus nigrita, None
Scotophilus nigrita, 6905310, Scotophilus nigrita, 6905310
Scotophilus nucella, None, Pachyotus nucella, None
