name, col-id, syn-name, syn-col-id
Dorcopsulus macleayi, 6863083, None, None
Dorcopsulus vanheurni, 6863084, None, None
Dremomys everetti, 6905446, None, None
Dremomys gularis, None, None, None
Dremomys lokriah, 6905447, None, None
Dremomys pernyi, 6905448, None, None
Dremomys pyrrhomerus, 6905449, None, None
Dremomys rufigenis, 6905450, None, None
Dromiciops gliroides, 6862955, None, None
Dryomys laniger, 6884423, None, None
Dryomys niethammeri, None, None, None
Dryomys nitedula, 6884424, None, None
Dugong dugon, 6850450, None, None
Dusicyon australis, 6902494, None, None
Dyacopterus brooksi, None, None, None
Dyacopterus spadiceus, 6904686, None, None
Dymecodon pilirostris, 6930471, None, None
Echimys chrysurus, 6884291, None, None
Echimys saturnus, 6884299, None, None
Echimys vieirai, None, None, None
Echinoprocta rufescens, 6884185, None, None
Echinops telfairi, 6906427, None, None
Echinosorex gymnura, 6906457, None, None
Echiothrix centrosa, None, None, None
Echiothrix leucura, 6884561, None, None
Echymipera clara, 6863026, None, None
Echymipera davidi, 6863027, None, None
Echymipera echinista, 6863028, None, None
Echymipera kalubu, 6863029, None, None
Echymipera rufescens, 6863030, None, None
Ectophylla alba, 6904988, None, None
Eidolon dupreanum, 6904884, None, None
Eidolon helvum, 6904687, None, None
Eira barbara, 6902569, None, None
Elaphodus cephalophus, 6903835, None, None
Elaphurus davidianus, 6903833, None, None
Elephantulus brachyrhynchus, 6884385, None, None
Elephantulus edwardii, 6884386, None, None
Elephantulus fuscipes, 6884387, None, None
Elephantulus fuscus, 6884388, None, None
Elephantulus intufi, 6884389, None, None
Elephantulus myurus, 6884390, None, None
Elephantulus revoili, 6884391, None, None
Elephantulus rozeti, 6884392, None, None
Elephantulus rufescens, 6884393, None, None
Elephantulus rupestris, 6884394, None, None
Elephas maximus, 6884407, None, None
Eligmodontia moreni, 6906081, None, None
Eligmodontia morgani, 6906082, None, None
Eligmodontia puerulus, 6906083, None, None
Eligmodontia typus, 6906084, None, None
Eliomys melanurus, 6884426, None, None
Eliomys munbyanus, None, None, None
Eliomys quercinus, 6884427, None, None
Eliurus antsingy, None, None, None
Eliurus danieli, None, None, None
Eliurus ellermani, None, None, None
Eliurus grandidieri, None, None, None
Eliurus majori, 6905745, None, None
Eliurus minor, 6905746, None, None
Eliurus myoxinus, 6905747, None, None
Eliurus penicillatus, 6905748, None, None
Eliurus petteri, None, None, None
Eliurus tanala, 6905749, None, None
Eliurus webbi, 6905750, None, None
Ellobius alaicus, 6905797, None, None
Ellobius fuscocapillus, 6905798, None, None
Ellobius lutescens, 6905799, None, None
Ellobius talpinus, 6905800, None, None
Ellobius tancrei, 6905801, None, None
Emballonura alecto, 6904831, None, None
Emballonura atrata, 6904832, None, None
Emballonura beccarii, 6904833, None, None
Emballonura dianae, 6904834, None, None
Emballonura furax, 6904835, None, None
Emballonura monticola, 6904836, None, None
Emballonura raffrayana, 6904837, None, None
Emballonura semicaudata, 6850075, None, None
Emballonura serii, None, None, None
Emballonura tiavato, None, None, None
Enchisthenes hartii, None, None, None
Enhydra lutris, 6850393, None, None
Eoglaucomys fimbriatus, None, None, None
Eolagurus luteus, 6905802, None, None
Eolagurus przewalskii, 6905803, None, None
Eonycteris major, 6904803, None, None
Eonycteris robusta, None, None, None
Eonycteris spelaea, 6904804, None, None
Eospalax fontanierii, None, None, None
Eospalax rothschildi, None, None, None
Eospalax smithii, None, None, None
Eothenomys cachinus, None, None, None
Eothenomys chinensis, 6905804, None, None
Eothenomys custos, 6905805, None, None
Eothenomys melanogaster, 6905808, None, None
Eothenomys miletus, None, None, None
Eothenomys olitor, 6905809, None, None
