"IUCNSpecID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Latin","Authority","Infraspecific rank","Infraspecific name","Infraspecific authority","Stock/subpopulation","Synonyms","Common names (Eng)","Common names (Fre)","Common names (Spa)","Red List status","Red List criteria","Red List criteria version","Year assessed","Population trend","Petitioned"
42641,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Abditomys","latidens","Abditomys latidens","(Sanborn, 1952)",,,,,,"Luzon Broad-toothed Rat",,,"DD",,3.1,2008,"unknown","N"
17879,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Abeomelomys","sevia","Abeomelomys sevia","(Tate & Archbold, 1935)",,,,,"Pogonomelomys sevia","Menzies' Mouse, Highland Brush Mouse",,,"LC",,3.1,2008,"unknown","N"
16,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrawayaomys","ruschii","Abrawayaomys ruschii","Cunha & Cruz, 1979",,,,,,"Rushi's Rat",,,"LC",,3.1,2008,"unknown","N"
42656,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","bennettii","Abrocoma bennettii","Waterhouse, 1837",,,,,,"Bennett's Chinchilla Rat",,,"LC",,3.1,2008,"unknown","N"
18,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","boliviensis","Abrocoma boliviensis","Glanz & Anderson, 1990",,,,,,"Bolivian Chinchilla Rat, Bolivian Chincilla Rat",,,"CR","B1ab(i,ii,iii)",3.1,2008,"decreasing","N"
136334,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","budini","Abrocoma budini","Thomas, 1920",,,,,,"Budin's Chinchilla Rat",,,"DD",,3.1,2008,"unknown","N"
42657,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","cinerea","Abrocoma cinerea","Thomas, 1919",,,,,,"Ashy Chinchilla Rat",,,"LC",,3.1,2008,"stable","N"
136367,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","famatina","Abrocoma famatina","Thomas, 1920",,,,,,"Famatina Chinchilla Rat",,,"DD",,3.1,2008,"unknown","N"
136525,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","shistacea","Abrocoma shistacea","Thomas, 1921",,,,,,"Sierra Del Tontal Chinchilla Rat",,,"DD",,3.1,2008,"unknown","N"
136302,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","uspallata","Abrocoma uspallata","Braun & Mares, 2002",,,,,,"Uspallata Chinchilla Rat",,,"DD",,3.1,2008,"unknown","N"
136546,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","ABROCOMIDAE","Abrocoma","vaccarum","Abrocoma vaccarum","Thomas, 1921",,,,,,"Mendozan Chinchilla Rat",,,"DD",,3.1,2008,"unknown","N"
4803,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","andinus","Abrothrix andinus","(Philippi, 1858)",,,,,"Chroeomys andinus","Andean Akodont, Andean Altiplano Mouse",,,"LC",,3.1,2008,"unknown","N"
734,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","hershkovitzi","Abrothrix hershkovitzi","(Patterson, Gallardo & Freas, 1984)",,,,,"Akodon hershkovitzi","Hershkovitz's Grass Mouse, Hershkovitz's Akodont",,,"LC",,3.1,2008,"stable","N"
735,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","illuteus","Abrothrix illuteus","Thomas, 1925",,,,,"Akodon illuteus","Gray Akodont, Gray Grass Mouse",,,"NT",,3.1,2008,"decreasing","N"
4804,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","jelskii","Abrothrix jelskii","(Thomas, 1894)",,,,,"Chroeomys jelskii","Jelski's Altiplano Mouse",,,"LC",,3.1,2008,"stable","N"
740,"ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Abrothrix","lanosus","Abrothrix lanosus","(Thomas, 1897)",,,,,"Akodon lanosus","Woolly Grass Mouse, Wooly Akodont",,,"LC",,3.1,2008,"stable","N"
