walt-id, name, col-id, is-primary
2048, Petrogale penicillata, 6849997, 1
2049, Petrogale persephone, 6863115, 1
2050, Petrogale purpureicollis, 6930333, 1
2051, Petrogale rothschildi, 6863116, 1
2052, Petrogale sharmani, 6930334, 1
2053, Petrogale xanthopus, 6863117, 1
2054, Setonix brachyurus, 6863118, 1
2055, Thylogale billardierii, 6863119, 1
2056, Thylogale browni, 6930355, 1
2057, Thylogale brunii, 6863120, 1
2058, Thylogale calabyi, 6930356, 1
2059, Thylogale lanatus, 6930357, 1
2060, Thylogale stigmatica, 6863121, 1
2061, Thylogale thetis, 6863122, 1
2062, Wallabia bicolor, 6863123, 1
2063, Dactylonax palpator, None, -1
2064, Dactylopsila megalura, 6900305, 1
2065, Dactylopsila tatei, 6900307, 1
2066, Dactylopsila trivirgata, 6900308, 1
2067, Gymnobelideus leadbeateri, 6900309, 1
2068, Petaurus abidi, 6900310, 1
2069, Petaurus australis, 6900312, 1
2070, Petaurus biacensis, 6930328, 1
2071, Petaurus breviceps, 6900313, 1
2072, Petaurus gracilis, 6900314, 1
2073, Petaurus norfolcensis, 6900315, 1
2074, Ailurops melanotis, 6930323, 1
2075, Ailurops ursinus, 6863044, 1
2076, Phalanger alexandrae, 6930335, 1
2077, Phalanger carmelitae, 6863045, 1
2078, Phalanger gymnotis, 6930336, 1
2079, Phalanger intercastellanus, 6930337, 1
2080, Phalanger lullulae, 6863046, 1
2081, Phalanger matabiru, 6930338, 1
2082, Phalanger matanim, 6863047, 1
2083, Phalanger mimicus, 6930339, 1
2084, Phalanger orientalis, 6863048, 1
2085, Phalanger ornatus, 6863049, 1
2086, Phalanger rothschildi, 6900289, 1
2087, Phalanger sericeus, 6863050, 1
2088, Phalanger vestitus, 6863051, 1
2089, Spilocuscus kraemeri, 6930351, 1
2090, Spilocuscus maculatus, 6863052, 1
2091, Spilocuscus papuensis, 6930353, 1
2092, Spilocuscus rufoniger, 6863053, 1
2093, Spilocuscus wilsoni, None, -1
2094, Strigocuscus celebensis, 6863054, 1
2095, Strigocuscus pelengensis, 6930354, 1
2096, Trichosurus caninus, 6863056, 1
2097, Trichosurus cunninghami, 6930358, 1
2098, Trichosurus vulpecula, 6863057, 1
2099, Wyulda squamicaudata, 6863058, 1
2100, Phascolarctos cinereus, 6863039, 1
2101, Aepyprymnus rufescens, 6863059, 1
2102, Bettongia gaimardi, 6863060, 1
2103, Bettongia lesueur, 6863061, 1
2104, Bettongia penicillata, 6863062, 1
2105, Bettongia tropica, 6930324, 1
2106, Potorous gilbertii, 6930340, 1
2107, Potorous longipes, 6863065, 1
2108, Potorous tridactylus, 6863067, 1
2109, Hemibelideus lemuroides, 6900296, 1
2110, Petauroides volans, 6900297, 1
2111, Petropseudes dahli, 6900298, 1
2112, Pseudocheirus occidentalis, None, -1
2113, Pseudocheirus peregrinus, 6900299, 1
2114, Pseudochirops albertisii, 6900301, 1
2115, Pseudochirops archeri, 6900302, 1
2116, Pseudochirops corinnae, 6900303, 1
2117, Pseudochirops coronatus, 6930342, 1
2118, Pseudochirops cupreus, 6900304, 1
2119, Pseudochirulus canescens, 6930343, 1
2120, Pseudochirulus caroli, 6930344, 1
2121, Pseudochirulus cinereus, 6930345, 1
2122, Pseudochirulus forbesi, 6930346, 1
2123, Pseudochirulus herbertensis, 6930347, 1
2124, Pseudochirulus larvatus, 6930348, 1
2125, Pseudochirulus mayeri, 6930349, 1
2126, Pseudochirulus schlegeli, 6930350, 1
2127, Tarsipes rostratus, 6900316, 1
2128, Lasiorhinus krefftii, 6863040, 1
2129, Lasiorhinus latifrons, 6863041, 1
2130, Vombatus ursinus, 6863043, 1
2131, Atelerix albiventris, 6906445, 1
2132, Atelerix algirus, 6906446, 1
2133, Atelerix frontalis, 6906447, 1
2134, Atelerix sclateri, 6906448, 1
2135, Echinosorex gymnura, 6906457, 1
2136, Erinaceus amurensis, 6906449, 1
2137, Erinaceus concolor, 6906450, 1
2138, Erinaceus europaeus, 6906452, 1
2139, Erinaceus roumanicus, 6930400, 1
2140, Hemiechinus auritus, 6906453, 1
2141, Hemiechinus collaris, 6906454, 1
2142, Hylomys megalotis, 6930401, 1
2143, Hylomys parvus, 6930402, 1
2144, Hylomys suillus, 6862889, 1
2145, Mesechinus dauuricus, 6906455, 1
2146, Mesechinus hughi, 6906456, 1
2147, Neohylomys hainanensis, 6930403, 1
2148, Neotetracus sinensis, 6930404, 1
2149, Paraechinus aethiopicus, 6930405, 1
2150, Paraechinus hypomelas, 6930406, 1
2151, Paraechinus micropus, 6930408, 1
2152, Paraechinus nudiventris, 6930409, 1
2153, Podogymnura aureospinula, 6906459, 1
2154, Podogymnura truei, 6906460, 1
2155, Solenodon cubanus, 6906396, 1
2156, Solenodon paradoxus, 6906398, 1
2157, Anourosorex assamensis, 6930410, 1
2158, Anourosorex schmidi, 6930411, 1
2159, Anourosorex squamipes, 6906669, 1
2160, Anourosorex yamashinai, 6930412, 1
2161, Blarina brevicauda, 6850025, 1
2162, Blarina carolinensis, 6850026, 1
2163, Blarina hylophaga, 6850027, 1
2164, Blarinella griselda, 6930414, 1
2165, Blarinella quadraticauda, 6906670, 1
2166, Blarinella wardi, 6906671, 1
2167, Chimarrogale hantu, 6906672, 1
2168, Chimarrogale himalayica, 6906673, 1
2169, Chimarrogale phaeura, 6906674, 1
2170, Chimarrogale platycephalus, 6930415, 1
2171, Chimarrogale styani, 6906675, 1
2172, Chimarrogale sumatrana, 6906676, 1
2173, Chodsigoa caovansunga, 6930416, 1
2174, Chodsigoa hypsibia, 6930417, 1
2175, Chodsigoa lamula, 6930419, 1
2176, Chodsigoa parca, 6930420, 1
2177, Chodsigoa parva, 6930421, 1
2178, Chodsigoa salenskii, 6930422, 1
2179, Chodsigoa smithii, 6930423, 1
2180, Chodsigoa sodalis, 6930424, 1
2181, Congosorex phillipsorum, None, -1
2182, Congosorex polli, 6906461, 1
2183, Congosorex verheyeni, 6930425, 1
2184, Crocidura aleksandrisi, 6906462, 1
2185, Crocidura allex, 6906463, 1
2186, Crocidura andamanensis, 6906464, 1
2187, Crocidura ansellorum, 6906465, 1
2188, Crocidura arabica, 6906466, 1
2189, Crocidura arispa, 6930426, 1
2190, Crocidura armenica, 6906467, 1
2191, Crocidura attenuata, 6906468, 1
2192, Crocidura attila, 6906470, 1
2193, Crocidura baileyi, 6906471, 1
2194, Crocidura baluensis, 6930427, 1
2195, Crocidura batesi, 6906472, 1
2196, Crocidura beatus, 6906473, 1
2197, Crocidura beccarii, 6906474, 1
2198, Crocidura bottegi, 6906475, 1
2199, Crocidura bottegoides, 6906476, 1
2200, Crocidura brunnea, 6930428, 1
2201, Crocidura buettikoferi, 6906477, 1
2202, Crocidura caliginea, 6906478, 1
2203, Crocidura canariensis, 6906479, 1
2204, Crocidura caspica, 6930430, 1
2205, Crocidura cinderella, 6906481, 1
2206, Crocidura congobelgica, 6906482, 1
2207, Crocidura crenata, 6906483, 1
2208, Crocidura crossei, 6906484, 1
2209, Crocidura cyanea, 6906485, 1
2210, Crocidura denti, 6906486, 1
2211, Crocidura desperata, 6906487, 1
2212, Crocidura dolichura, 6906489, 1
2213, Crocidura douceti, 6906490, 1
2214, Crocidura dsinezumi, 6906491, 1
2215, Crocidura eisentrauti, 6906492, 1
2216, Crocidura elgonius, 6906493, 1
2217, Crocidura elongata, 6906494, 1
2218, Crocidura erica, 6906495, 1
2219, Crocidura fischeri, 6906496, 1
2220, Crocidura flavescens, 6906497, 1
2221, Crocidura floweri, 6906498, 1
2222, Crocidura foetida, 6930431, 1
2223, Crocidura foxi, 6906499, 1
2224, Crocidura fuliginosa, 6906501, 1
2225, Crocidura fulvastra, 6906502, 1
2226, Crocidura fumosa, 6906503, 1
2227, Crocidura fuscomurina, 6906504, 1
2228, Crocidura glassi, 6906505, 1
2229, Crocidura gmelini, 6930432, 1
2230, Crocidura goliath, 6906506, 1
2231, Crocidura gracilipes, 6906507, 1
2232, Crocidura grandiceps, 6906508, 1
2233, Crocidura grandis, 6906509, 1
2234, Crocidura grassei, 6906510, 1
2235, Crocidura grayi, 6906512, 1
2236, Crocidura greenwoodi, 6906513, 1
2237, Crocidura harenna, 6906514, 1
2238, Crocidura hikmiya, None, -1
2239, Crocidura hildegardeae, 6906515, 1
2240, Crocidura hilliana, 6930433, 1
2241, Crocidura hirta, 6906516, 1
2242, Crocidura hispida, 6906517, 1
2243, Crocidura horsfieldii, 6906518, 1
2244, Crocidura hutanis, 6930434, 1
2245, Crocidura indochinensis, 6930436, 1
2246, Crocidura jacksoni, 6906519, 1
2247, Crocidura jenkinsi, 6906520, 1
2248, Crocidura jouvenetae, 6930437, 1
2249, Crocidura katinka, 6930438, 1
2250, Crocidura kivuana, 6906521, 1
2251, Crocidura lamottei, 6906522, 1
2252, Crocidura lanosa, 6906523, 1
2253, Crocidura lasiura, 6906524, 1
2254, Crocidura latona, 6906525, 1
2255, Crocidura lea, 6906526, 1
2256, Crocidura lepidura, 6930439, 1
2257, Crocidura leucodon, 6906527, 1
2258, Crocidura levicula, 6906528, 1
2259, Crocidura littoralis, 6906529, 1
2260, Crocidura longipes, 6906530, 1
2261, Crocidura lucina, 6906532, 1
2262, Crocidura ludia, 6906533, 1
2263, Crocidura luna, 6906534, 1
2264, Crocidura lusitania, 6906535, 1
2265, Crocidura macarthuri, 6906536, 1
2266, Crocidura macmillani, 6906537, 1
2267, Crocidura macowi, 6906538, 1
2268, Crocidura malayana, 6906539, 1
2269, Crocidura manengubae, 6906540, 1
2270, Crocidura maquassiensis, 6906541, 1
2271, Crocidura mariquensis, 6906543, 1
2272, Crocidura maurisca, 6906544, 1
2273, Crocidura maxi, 6906545, 1
2274, Crocidura mindorus, 6906546, 1
2275, Crocidura miya, 6906547, 1
2276, Crocidura monax, 6906548, 1
2277, Crocidura monticola, 6906549, 1
2278, Crocidura montis, 6906550, 1
2279, Crocidura muricauda, 6906551, 1
2280, Crocidura musseri, 6930440, 1
2281, Crocidura mutesae, 6906553, 1
2282, Crocidura nana, 6906554, 1
2283, Crocidura nanilla, 6906555, 1
2284, Crocidura negligens, 6930441, 1
2285, Crocidura negrina, 6906556, 1
2286, Crocidura nicobarica, 6906557, 1
2287, Crocidura nigeriae, 6906558, 1
2288, Crocidura nigricans, 6906559, 1
2289, Crocidura nigripes, 6906560, 1
2290, Crocidura nigrofusca, 6906561, 1
2291, Crocidura nimbae, 6906563, 1
2292, Crocidura niobe, 6906564, 1
2293, Crocidura obscurior, 6906565, 1
2294, Crocidura olivieri, 6906566, 1
2295, Crocidura orientalis, 6930442, 1
2296, Crocidura orii, 6906567, 1
2297, Crocidura pachyura, None, -1
2298, Crocidura palawanensis, 6906568, 1
2299, Crocidura paradoxura, 6906569, 1
2300, Crocidura parvipes, 6906570, 1
2301, Crocidura pasha, 6906571, 1
2302, Crocidura pergrisea, 6906572, 1
2303, Crocidura phaeura, 6906573, 1
2304, Crocidura picea, 6906574, 1
2305, Crocidura pitmani, 6906575, 1
2306, Crocidura planiceps, 6906576, 1
2307, Crocidura poensis, 6906577, 1
2308, Crocidura polia, 6906578, 1
2309, Crocidura pullata, 6906579, 1
2310, Crocidura raineyi, 6906580, 1
2311, Crocidura ramona, 6930443, 1
2312, Crocidura rapax, 6930444, 1
2313, Crocidura religiosa, 6906581, 1
2314, Crocidura rhoditis, 6906583, 1
2315, Crocidura roosevelti, 6906584, 1
2316, Crocidura russula, 6906585, 1
2317, Crocidura selina, 6906586, 1
2318, Crocidura serezkyensis, 6906587, 1
2319, Crocidura shantungensis, 6930445, 1
2320, Crocidura sibirica, 6906588, 1
2321, Crocidura sicula, 6906589, 1
2322, Crocidura silacea, 6906590, 1
2323, Crocidura smithii, 6906591, 1
2324, Crocidura somalica, 6906592, 1
2325, Crocidura stenocephala, 6906594, 1
2326, Crocidura suaveolens, 6906595, 1
2327, Crocidura susiana, 6906596, 1
2328, Crocidura tanakae, 6930446, 1
2329, Crocidura tansaniana, 6906597, 1
2330, Crocidura tarella, 6906598, 1
2331, Crocidura tarfayensis, 6906599, 1
2332, Crocidura telfordi, 6906600, 1
2333, Crocidura tenuis, 6906601, 1
2334, Crocidura thalia, 6906602, 1
2335, Crocidura theresae, 6906603, 1
2336, Crocidura thomensis, 6906605, 1
2337, Crocidura trichura, 6930447, 1
2338, Crocidura turba, 6906606, 1
2339, Crocidura ultima, 6906607, 1
2340, Crocidura usambarae, 6906608, 1
2341, Crocidura viaria, 6906609, 1
2342, Crocidura virgata, 6930448, 1
2343, Crocidura voi, 6906610, 1
2344, Crocidura vorax, 6930449, 1
2345, Crocidura vosmaeri, 6930451, 1
2346, Crocidura watasei, 6930452, 1
2347, Crocidura whitakeri, 6906611, 1
2348, Crocidura wimmeri, 6906612, 1
2349, Crocidura wuchihensis, 6930453, 1
2350, Crocidura xantippe, 6906613, 1
2351, Crocidura yankariensis, 6906614, 1
2352, Crocidura zaphiri, 6906616, 1
2353, Crocidura zarudnyi, 6906617, 1
2354, Crocidura zimmeri, 6906618, 1
2355, Crocidura zimmermanni, 6906619, 1
2356, Cryptotis alticola, 6930454, 1
2357, Cryptotis brachyonyx, 6930455, 1
2358, Cryptotis colombiana, 6930456, 1
2359, Cryptotis endersi, 6906678, 1
2360, Cryptotis equatoris, 6930457, 1
2361, Cryptotis goldmani, 6906679, 1
2362, Cryptotis goodwini, 6906680, 1
2363, Cryptotis gracilis, 6906681, 1
2364, Cryptotis griseoventris, 6930458, 1
2365, Cryptotis hondurensis, 6906682, 1
2366, Cryptotis magna, 6906683, 1
2367, Cryptotis mayensis, 6930459, 1
2368, Cryptotis medellinia, 6930460, 1
2369, Cryptotis mera, 6930461, 1
2370, Cryptotis meridensis, 6906684, 1
2371, Cryptotis merriami, 6930462, 1
2372, Cryptotis mexicana, 6906685, 1
2373, Cryptotis montivaga, 6906686, 1
2374, Cryptotis nelsoni, 6930463, 1
2375, Cryptotis nigrescens, 6906688, 1
2376, Cryptotis obscura, 6930464, 1
2377, Cryptotis orophila, 6930465, 1
2378, Cryptotis parva, 6850028, 1
2379, Cryptotis peregrina, 6930466, 1
2380, Cryptotis peruviensis, 6930467, 1
2381, Cryptotis phillipsii, 6930468, 1
2382, Cryptotis squamipes, 6906689, 1
2383, Cryptotis tamensis, 6930469, 1
2384, Cryptotis thomasi, 6906690, 1
2385, Cryptotis tropicalis, 6930470, 1
2386, Diplomesodon pulchellum, 6906620, 1
2387, Episoriculus caudatus, 6930472, 1
2388, Episoriculus fumidus, 6930473, 1
2389, Episoriculus leucops, 6930474, 1
2390, Episoriculus macrurus, 6930475, 1
2391, Feroculus feroculus, 6906621, 1
2392, Megasorex gigas, 6906691, 1
2393, Myosorex babaulti, 6906622, 1
2394, Myosorex blarina, 6906623, 1
2395, Myosorex cafer, 6906624, 1
2396, Myosorex eisentrauti, 6906625, 1
2397, Myosorex geata, 6906626, 1
2398, Myosorex kihaulei, 6930478, 1
2399, Myosorex longicaudatus, 6906627, 1
2400, Myosorex okuensis, 6906628, 1
2401, Myosorex rumpii, 6906629, 1
2402, Myosorex schalleri, 6906630, 1
