"SpecID","FAMILY","ORDER","Genus_species","Latin","NO_POLYGONS"
1,"CHRYSOCHLORIDAE","AFROSORICIDA","Amblysomus_corriae","Amblysomus corriae",1.00
2,"CHRYSOCHLORIDAE","AFROSORICIDA","Amblysomus_hottentotus","Amblysomus hottentotus",1.00
3,"CHRYSOCHLORIDAE","AFROSORICIDA","Amblysomus_marleyi","Amblysomus marleyi",1.00
4,"CHRYSOCHLORIDAE","AFROSORICIDA","Amblysomus_robustus","Amblysomus robustus",1.00
5,"CHRYSOCHLORIDAE","AFROSORICIDA","Amblysomus_septentrionalis","Amblysomus septentrionalis",5.00
6,"CHRYSOCHLORIDAE","AFROSORICIDA","Calcochloris_leucorhinus","Calcochloris leucorhinus",3.00
7,"CHRYSOCHLORIDAE","AFROSORICIDA","Calcochloris_obtusirostris","Calcochloris obtusirostris",1.00
8,"CHRYSOCHLORIDAE","AFROSORICIDA","Calcochloris_tytonis","Calcochloris tytonis",1.00
9,"CHRYSOCHLORIDAE","AFROSORICIDA","Carpitalpa_arendsi","Carpitalpa arendsi",1.00
10,"CHRYSOCHLORIDAE","AFROSORICIDA","Chlorotalpa_duthieae","Chlorotalpa duthieae",1.00
11,"CHRYSOCHLORIDAE","AFROSORICIDA","Chlorotalpa_sclateri","Chlorotalpa sclateri",4.00
12,"CHRYSOCHLORIDAE","AFROSORICIDA","Chrysochloris_asiatica","Chrysochloris asiatica",2.00
13,"CHRYSOCHLORIDAE","AFROSORICIDA","Chrysochloris_stuhlmanni","Chrysochloris stuhlmanni",5.00
14,"CHRYSOCHLORIDAE","AFROSORICIDA","Chrysochloris_visagiei","Chrysochloris visagiei",1.00
15,"CHRYSOCHLORIDAE","AFROSORICIDA","Chrysospalax_trevelyani","Chrysospalax trevelyani",1.00
16,"CHRYSOCHLORIDAE","AFROSORICIDA","Chrysospalax_villosus","Chrysospalax villosus",4.00
17,"CHRYSOCHLORIDAE","AFROSORICIDA","Cryptochloris_wintoni","Cryptochloris wintoni",1.00
18,"CHRYSOCHLORIDAE","AFROSORICIDA","Cryptochloris_zyli","Cryptochloris zyli",1.00
19,"CHRYSOCHLORIDAE","AFROSORICIDA","Eremitalpa_granti","Eremitalpa granti",2.00
20,"CHRYSOCHLORIDAE","AFROSORICIDA","Neamblysomus_gunningi","Neamblysomus gunningi",1.00
21,"CHRYSOCHLORIDAE","AFROSORICIDA","Neamblysomus_julianae","Neamblysomus julianae",3.00
22,"TENRECIDAE","AFROSORICIDA","Echinops_telfairi","Echinops telfairi",1.00
23,"TENRECIDAE","AFROSORICIDA","Geogale_aurita","Geogale aurita",10.00
24,"TENRECIDAE","AFROSORICIDA","Hemicentetes_nigriceps","Hemicentetes nigriceps",1.00
25,"TENRECIDAE","AFROSORICIDA","Hemicentetes_semispinosus","Hemicentetes semispinosus",1.00
26,"TENRECIDAE","AFROSORICIDA","Limnogale_mergulus","Limnogale mergulus",1.00
27,"TENRECIDAE","AFROSORICIDA","Microgale_brevicaudata","Microgale brevicaudata",1.00
28,"TENRECIDAE","AFROSORICIDA","Microgale_cowani","Microgale cowani",4.00
29,"TENRECIDAE","AFROSORICIDA","Microgale_dobsoni","Microgale dobsoni",6.00
30,"TENRECIDAE","AFROSORICIDA","Microgale_drouhardi","Microgale drouhardi",1.00
31,"TENRECIDAE","AFROSORICIDA","Microgale_dryas","Microgale dryas",1.00
32,"TENRECIDAE","AFROSORICIDA","Microgale_fotsifotsy","Microgale fotsifotsy",2.00
33,"TENRECIDAE","AFROSORICIDA","Microgale_gracilis","Microgale gracilis",2.00
34,"TENRECIDAE","AFROSORICIDA","Microgale_gymnorhyncha","Microgale gymnorhyncha",3.00
35,"TENRECIDAE","AFROSORICIDA","Microgale_jenkinsae","Microgale jenkinsae",1.00
36,"TENRECIDAE","AFROSORICIDA","Microgale_jobihely","Microgale jobihely",1.00
37,"TENRECIDAE","AFROSORICIDA","Microgale_longicaudata","Microgale longicaudata",2.00
38,"TENRECIDAE","AFROSORICIDA","Microgale_majori","Microgale majori",4.00
39,"TENRECIDAE","AFROSORICIDA","Microgale_monticola","Microgale monticola",2.00
40,"TENRECIDAE","AFROSORICIDA","Microgale_nasoloi","Microgale nasoloi",3.00
41,"TENRECIDAE","AFROSORICIDA","Microgale_parvula","Microgale parvula",4.00
42,"TENRECIDAE","AFROSORICIDA","Microgale_principula","Microgale principula",1.00
43,"TENRECIDAE","AFROSORICIDA","Microgale_pusilla","Microgale pusilla",4.00
44,"TENRECIDAE","AFROSORICIDA","Microgale_soricoides","Microgale soricoides",2.00
45,"TENRECIDAE","AFROSORICIDA","Microgale_taiva","Microgale taiva",2.00
46,"TENRECIDAE","AFROSORICIDA","Microgale_talazaci","Microgale talazaci",4.00
47,"TENRECIDAE","AFROSORICIDA","Microgale_thomasi","Microgale thomasi",3.00
48,"TENRECIDAE","AFROSORICIDA","Micropotamogale_lamottei","Micropotamogale lamottei",3.00
49,"TENRECIDAE","AFROSORICIDA","Micropotamogale_ruwenzorii","Micropotamogale ruwenzorii",1.00
50,"TENRECIDAE","AFROSORICIDA","Oryzorictes_hova","Oryzorictes hova",1.00
51,"TENRECIDAE","AFROSORICIDA","Oryzorictes_tetradactylus","Oryzorictes tetradactylus",1.00
52,"TENRECIDAE","AFROSORICIDA","Potamogale_velox","Potamogale velox",2.00
53,"TENRECIDAE","AFROSORICIDA","Setifer_setosus","Setifer setosus",1.00
54,"TENRECIDAE","AFROSORICIDA","Tenrec_ecaudatus","Tenrec ecaudatus",1.00
55,"AILURIDAE","CARNIVORA","Ailurus_fulgens","Ailurus fulgens",2.00
56,"CANIDAE","CARNIVORA","Alopex_lagopus","Alopex lagopus",56.00
57,"CANIDAE","CARNIVORA","Atelocynus_microtis","Atelocynus microtis",1.00
58,"CANIDAE","CARNIVORA","Canis_adustus","Canis adustus",1.00
59,"CANIDAE","CARNIVORA","Canis_aureus","Canis aureus",6.00
60,"CANIDAE","CARNIVORA","Canis_latrans","Canis latrans",1.00
61,"CANIDAE","CARNIVORA","Canis_lupus","Canis lupus",31.00
62,"CANIDAE","CARNIVORA","Canis_mesomelas","Canis mesomelas",2.00
63,"CANIDAE","CARNIVORA","Canis_rufus","Canis rufus",1.00
64,"CANIDAE","CARNIVORA","Canis_simensis","Canis simensis",14.00
65,"CANIDAE","CARNIVORA","Cerdocyon_thous","Cerdocyon thous",5.00
66,"CANIDAE","CARNIVORA","Chrysocyon_brachyurus","Chrysocyon brachyurus",6.00
67,"CANIDAE","CARNIVORA","Cuon_alpinus","Cuon alpinus",18.00
68,"CANIDAE","CARNIVORA","Lycaon_pictus","Lycaon pictus",52.00
69,"CANIDAE","CARNIVORA","Nyctereutes_procyonoides","Nyctereutes procyonoides",6.00
70,"CANIDAE","CARNIVORA","Otocyon_megalotis","Otocyon megalotis",2.00
71,"CANIDAE","CARNIVORA","Pseudalopex_culpaeus","Pseudalopex culpaeus",27.00
72,"CANIDAE","CARNIVORA","Pseudalopex_fulvipes","Pseudalopex fulvipes",2.00
73,"CANIDAE","CARNIVORA","Pseudalopex_griseus","Pseudalopex griseus",3.00
74,"CANIDAE","CARNIVORA","Pseudalopex_gymnocercus","Pseudalopex gymnocercus",1.00
75,"CANIDAE","CARNIVORA","Pseudalopex_sechurae","Pseudalopex sechurae",3.00
76,"CANIDAE","CARNIVORA","Pseudalopex_vetulus","Pseudalopex vetulus",2.00
77,"CANIDAE","CARNIVORA","Speothos_venaticus","Speothos venaticus",1.00
78,"CANIDAE","CARNIVORA","Urocyon_cinereoargenteus","Urocyon cinereoargenteus",3.00
79,"CANIDAE","CARNIVORA","Urocyon_littoralis","Urocyon littoralis",6.00
80,"CANIDAE","CARNIVORA","Vulpes_bengalensis","Vulpes bengalensis",1.00
81,"CANIDAE","CARNIVORA","Vulpes_cana","Vulpes cana",3.00
82,"CANIDAE","CARNIVORA","Vulpes_chama","Vulpes chama",1.00
83,"CANIDAE","CARNIVORA","Vulpes_corsac","Vulpes corsac",1.00
84,"CANIDAE","CARNIVORA","Vulpes_ferrilata","Vulpes ferrilata",1.00
85,"CANIDAE","CARNIVORA","Vulpes_macrotis","Vulpes macrotis",2.00
86,"CANIDAE","CARNIVORA","Vulpes_pallida","Vulpes pallida",1.00
87,"CANIDAE","CARNIVORA","Vulpes_rueppellii","Vulpes rueppellii",2.00
88,"CANIDAE","CARNIVORA","Vulpes_velox","Vulpes velox",1.00
89,"CANIDAE","CARNIVORA","Vulpes_vulpes","Vulpes vulpes",50.00
90,"CANIDAE","CARNIVORA","Vulpes_zerda","Vulpes zerda",1.00
91,"EUPLERIDAE","CARNIVORA","Cryptoprocta_ferox","Cryptoprocta ferox",1.00
92,"EUPLERIDAE","CARNIVORA","Eupleres_goudotii","Eupleres goudotii",6.00
93,"EUPLERIDAE","CARNIVORA","Fossa_fossana","Fossa fossana",4.00
94,"EUPLERIDAE","CARNIVORA","Galidia_elegans","Galidia elegans",9.00
95,"EUPLERIDAE","CARNIVORA","Galidictis_fasciata","Galidictis fasciata",1.00
96,"EUPLERIDAE","CARNIVORA","Galidictis_grandidieri","Galidictis grandidieri",1.00
97,"EUPLERIDAE","CARNIVORA","Mungotictis_decemlineata","Mungotictis decemlineata",3.00
98,"EUPLERIDAE","CARNIVORA","Salanoia_concolor","Salanoia concolor",2.00
99,"FELIDAE","CARNIVORA","Acinonyx_jubatus","Acinonyx jubatus",31.00
