key,file,updatekey
1010/0213331/pa,output7/z7/31/46,1010/021333/pa
1010/0302220/pa,output7/z7/32/46,1010/030222/pa
1010/0213323/pa,output7/z7/29/47,1010/021332/pa
1010/0213332/pa,output7/z7/30/47,1010/021333/pa
1010/0213333/pa,output7/z7/31/47,1010/021333/pa
1010/0302222/pa,output7/z7/32/47,1010/030222/pa
1010/0302223/pa,output7/z7/33/47,1010/030222/pa
1010/0302232/pa,output7/z7/34/47,1010/030223/pa
1010/0302233/pa,output7/z7/35/47,1010/030223/pa
1010/0302322/pa,output7/z7/36/47,1010/030232/pa
1010/0302323/pa,output7/z7/37/47,1010/030232/pa
1010/0231101/pa,output7/z7/29/48,1010/023110/pa
1010/0231110/pa,output7/z7/30/48,1010/023111/pa
1010/0231111/pa,output7/z7/31/48,1010/023111/pa
1010/0320000/pa,output7/z7/32/48,1010/032000/pa
1010/0320001/pa,output7/z7/33/48,1010/032000/pa
1010/0320010/pa,output7/z7/34/48,1010/032001/pa
1010/0320011/pa,output7/z7/35/48,1010/032001/pa
1010/0320100/pa,output7/z7/36/48,1010/032010/pa
1010/0320101/pa,output7/z7/37/48,1010/032010/pa
1010/0231103/pa,output7/z7/29/49,1010/023110/pa
1010/0231112/pa,output7/z7/30/49,1010/023111/pa
1010/0231113/pa,output7/z7/31/49,1010/023111/pa
1010/0320002/pa,output7/z7/32/49,1010/032000/pa
1010/0320003/pa,output7/z7/33/49,1010/032000/pa
1010/0320012/pa,output7/z7/34/49,1010/032001/pa
1010/0320013/pa,output7/z7/35/49,1010/032001/pa
1010/0320102/pa,output7/z7/36/49,1010/032010/pa
1010/0320103/pa,output7/z7/37/49,1010/032010/pa
1010/0231121/pa,output7/z7/29/50,1010/023112/pa
1010/0231130/pa,output7/z7/30/50,1010/023113/pa
1010/0231131/pa,output7/z7/31/50,1010/023113/pa
1010/0320020/pa,output7/z7/32/50,1010/032002/pa
1010/0320021/pa,output7/z7/33/50,1010/032002/pa
1010/0320030/pa,output7/z7/34/50,1010/032003/pa
1010/0320031/pa,output7/z7/35/50,1010/032003/pa
1010/0320120/pa,output7/z7/36/50,1010/032012/pa
1010/0320121/pa,output7/z7/37/50,1010/032012/pa
1010/0231123/pa,output7/z7/29/51,1010/023112/pa
1010/0231132/pa,output7/z7/30/51,1010/023113/pa
1010/0231133/pa,output7/z7/31/51,1010/023113/pa
1010/0320022/pa,output7/z7/32/51,1010/032002/pa
1010/0320023/pa,output7/z7/33/51,1010/032002/pa
1010/0320032/pa,output7/z7/34/51,1010/032003/pa
1010/0320033/pa,output7/z7/35/51,1010/032003/pa
1010/0320122/pa,output7/z7/36/51,1010/032012/pa
1010/0231301/pa,output7/z7/29/52,1010/023130/pa
1010/0231310/pa,output7/z7/30/52,1010/023131/pa
1010/0231311/pa,output7/z7/31/52,1010/023131/pa
1010/0320200/pa,output7/z7/32/52,1010/032020/pa
1010/0320201/pa,output7/z7/33/52,1010/032020/pa
1010/0320210/pa,output7/z7/34/52,1010/032021/pa
1010/0320302/pa,output7/z7/36/53,1010/032030/pa
1010/0320231/pa,output7/z7/35/54,1010/032023/pa
1010/0320320/pa,output7/z7/36/54,1010/032032/pa
1010/0320321/pa,output7/z7/37/54,1010/032032/pa
1010/0231322/pa,output7/z7/28/55,1010/023132/pa
1010/0320223/pa,output7/z7/33/55,1010/032022/pa
1010/0320232/pa,output7/z7/34/55,1010/032023/pa
1010/0320233/pa,output7/z7/35/55,1010/032023/pa
