abundance,abundancecomment,abundancemakeup,abundancemethod,abundancesurveyarea,abundanceunits,accessright,accessrights,areaid,areaname,basemaps,bibliographiccitation,breedingdomain,contact,contributor,contributor,coverage,creator,date,dateend,datestart,description,distributioncomment,dynamicproperties,email,enddateaccuracy,establishmentmeans,eventdate,format,identifier,infraspecificepithet,language,later,layer_collection,layer_filename,layer_polygons,layer_source,layertype,mapcount,maxregionsperspecies,maxx,maxy,measurementcomment,measurementmethod,medianregionsperspecies,minregionsperspecies,minx,miny,nonbreedingdomain,occurrencestatus,polygonid,polygonname,population,presencedefault,publisher,relation,rights,samplingprotocol,samplingprotocol,scientificname,seasonality,source,startdateaccuracy,subject,surveyintervals,taxonid,taxonomiccoverage,taxonomy,taxonremarks,title,type,verbatimsrs
,,,,,,,True,5103,,null,835.28183692000,global,walter,,,earth,walter,2001,,,good,,,walter.jetz@yale.com,,,2001,,,,,,mammals,Rock and Ice,,jetz,,,,,,,,,,,,nowhere,,1.55600000000,Rock and Ice,,True,yale,,,,,puma concolor,,walter lab,,puma range maps,,,puma,null,,cool maps,,unknown
,,,,,,,True,5107,,null,1116.31821119000,global,walter,,,earth,walter,2001,,,good,,,walter.jetz@yale.com,,,2001,,,,,,mammals,Rock and Ice,,jetz,,,,,,,,,,,,nowhere,,2.26200000000,Rock and Ice,,True,yale,,,,,puma concolor,,walter lab,,puma range maps,,,puma,null,,cool maps,,unknown
,,,,,,,True,5111,,null,7846.49875290000,global,walter,,,earth,walter,2001,,,good,,,walter.jetz@yale.com,,,2001,,,,,,mammals,Rock and Ice,,jetz,,,,,,,,,,,,nowhere,,6.93100000000,Rock and Ice,,True,yale,,,,,puma concolor,,walter lab,,puma range maps,,,puma,null,,cool maps,,unknown
,,,,,,,True,2681,,null,10.01466866420,global,walter,,,earth,walter,2001,,,good,,,walter.jetz@yale.com,,,2001,,,,,,mammals,Rock and Ice,,jetz,,,,,,,,,,,,nowhere,,0.32000000000,Rock and Ice,,True,yale,,,,,puma concolor,,walter lab,,puma range maps,,,puma,null,,cool maps,,unknown
,,,,,,,True,3583,,null,119.63330730800,global,walter,,,earth,walter,2001,,,good,,,walter.jetz@yale.com,,,2001,,,,,,mammals,Rock and Ice,,jetz,,,,,,,,,,,,nowhere,,0.62500000000,Rock and Ice,,True,yale,,,,,puma concolor,,walter lab,,puma range maps,,,puma,null,,cool maps,,unknown
,,,,,,,True,3585,,null,1593.03143355000,global,walter,,,earth,walter,2001,,,good,,,walter.jetz@yale.com,,,2001,,,,,,mammals,Rock and Ice,,jetz,,,,,,,,,,,,nowhere,,5.43800000000,Rock and Ice,,True,yale,,,,,puma concolor,,walter lab,,puma range maps,,,puma,null,,cool maps,,unknown
,,,,,,,True,2217,,null,2158.55320224000,global,walter,,,earth,walter,2001,,,good,,,walter.jetz@yale.com,,,2001,,,,,,mammals,Rock and Ice,,jetz,,,,,,,,,,,,nowhere,,12.17400000000,Rock and Ice,,True,yale,,,,,puma concolor,,walter lab,,puma range maps,,,puma,null,,cool maps,,unknown
,,,,,,,True,3201,,null,4238.28663130000,global,walter,,,earth,walter,2001,,,good,,,walter.jetz@yale.com,,,2001,,,,,,mammals,Rock and Ice,,jetz,,,,,,,,,,,,nowhere,,3.03300000000,Rock and Ice,,True,yale,,,,,puma concolor,,walter lab,,puma range maps,,,puma,null,,cool maps,,unknown
,,,,,,,True,3247,,null,11123.81903610000,global,walter,,,earth,walter,2001,,,good,,,walter.jetz@yale.com,,,2001,,,,,,mammals,Rock and Ice,,jetz,,,,,,,,,,,,nowhere,,8.44900000000,Rock and Ice,,True,yale,,,,,puma concolor,,walter lab,,puma range maps,,,puma,null,,cool maps,,unknown
,,,,,,,True,7060,,null,1579.39881724000,global,walter,,,earth,walter,2001,,,good,,,walter.jetz@yale.com,,,2001,,,,,,mammals,Rock and Ice,,jetz,,,,,,,,,,,,nowhere,,7.35100000000,Rock and Ice,,True,yale,,,,,puma concolor,,walter lab,,puma range maps,,,puma,null,,cool maps,,unknown
